index,time_s,adc,voltage_v
159,0.066250000,2354,3.746862582
160,0.066666667,2322,3.334054178
161,0.067083333,2290,2.921245775
162,0.067500000,2257,2.495537110
163,0.067916667,2225,2.082728706
164,0.068333333,2193,1.669920303
165,0.068750000,2160,1.244211637
166,0.069166667,2128,0.831403234
167,0.069583333,2096,0.418594831
168,0.070000000,2064,0.005786428
169,0.070416667,2031,-0.419922238
170,0.070833333,1999,-0.832730641
171,0.071250000,1967,-1.245539044
172,0.071666667,1934,-1.671247710
173,0.072083333,1902,-2.084056113
174,0.072500000,1870,-2.496864517
175,0.072916667,1837,-2.922573182
176,0.073333333,1805,-3.335381586
177,0.073750000,1773,-3.748189989
178,0.074166667,1741,-4.160998392
179,0.074583333,1708,-4.586707058
180,0.075000000,1676,-4.999515461
181,0.075416667,1708,-4.586707058
182,0.075833333,1741,-4.160998392
183,0.076250000,1773,-3.748189989
184,0.076666667,1805,-3.335381586
185,0.077083333,1837,-2.922573182
186,0.077500000,1870,-2.496864517
187,0.077916667,1902,-2.084056113
188,0.078333333,1934,-1.671247710
189,0.078750000,1967,-1.245539044
190,0.079166667,1999,-0.832730641
191,0.079583333,2031,-0.419922238
192,0.080000000,2064,0.005786428
193,0.080416667,2096,0.418594831
194,0.080833333,2128,0.831403234
195,0.081250000,2160,1.244211637
196,0.081666667,2193,1.669920303
197,0.082083333,2225,2.082728706
198,0.082500000,2257,2.495537110
199,0.082916667,2290,2.921245775
200,0.083333333,2322,3.334054178
201,0.083750000,2354,3.746862582
202,0.084166667,2387,4.172571247
203,0.084583333,2419,4.585379651
204,0.085000000,2451,4.998188054
205,0.085416667,2419,4.585379651
206,0.085833333,2387,4.172571247
207,0.086250000,2354,3.746862582
208,0.086666667,2322,3.334054178
209,0.087083333,2290,2.921245775
210,0.087500000,2257,2.495537110
211,0.087916667,2225,2.082728706
212,0.088333333,2193,1.669920303
213,0.088750000,2160,1.244211637
214,0.089166667,2128,0.831403234
215,0.089583333,2096,0.418594831
216,0.090000000,2064,0.005786428
217,0.090416667,2031,-0.419922238
218,0.090833333,1999,-0.832730641
219,0.091250000,1967,-1.245539044
220,0.091666667,1934,-1.671247710
221,0.092083333,1902,-2.084056113
222,0.092500000,1870,-2.496864517
223,0.092916667,1837,-2.922573182
224,0.093333333,1805,-3.335381586
225,0.093750000,1773,-3.748189989
226,0.094166667,1741,-4.160998392
227,0.094583333,1708,-4.586707058
228,0.095000000,1676,-4.999515461
229,0.095416667,1708,-4.586707058
230,0.095833333,1741,-4.160998392
231,0.096250000,1773,-3.748189989
232,0.096666667,1805,-3.335381586
233,0.097083333,1837,-2.922573182
234,0.097500000,1870,-2.496864517
235,0.097916667,1902,-2.084056113
236,0.098333333,1934,-1.671247710
237,0.098750000,1967,-1.245539044
238,0.099166667,1999,-0.832730641
239,0.099583333,2031,-0.419922238
