frequencia_hz,fft_entrada,fft_iir,fft_fir_ret,fft_fir_hann
0.000000000000,0.128349968048,0.000002835517,0.127495577770,0.127484896792
1.953125000000,0.000350004244,0.000002837995,0.000504443633,0.000515130555
3.906250000000,0.000350112874,0.000002845422,0.000504507882,0.000515212638
5.859375000000,0.000350294061,0.000002857769,0.000504615102,0.000515349582
7.812500000000,0.000350548014,0.000002874989,0.000504765498,0.000515541596
9.765625000000,0.000350875022,0.000002897022,0.000504959359,0.000515788972
11.718750000000,0.000351275461,0.000002923788,0.000505197059,0.000516092091
13.671875000000,0.000351749792,0.000002955197,0.000505479057,0.000516451416
15.625000000000,0.000352298562,0.000002991148,0.000505805895,0.000516867500
17.578125000000,0.000352922410,0.000003031530,0.000506178208,0.000517340985
19.531250000000,0.000353622060,0.000003076228,0.000506596715,0.000517872606
21.484375000000,0.000354398333,0.000003125119,0.000507062229,0.000518463187
23.437500000000,0.000355252143,0.000003178082,0.000507575658,0.000519113652
25.390625000000,0.000356184502,0.000003234994,0.000508138004,0.000519825023
27.343750000000,0.000357196524,0.000003295734,0.000508750366,0.000520598421
29.296875000000,0.000358289424,0.000003360185,0.000509413950,0.000521435076
31.250000000000,0.000359464529,0.000003428234,0.000510130064,0.000522336325
33.203125000000,0.000360723274,0.000003499775,0.000510900126,0.000523303619
35.156250000000,0.000362067215,0.000003574708,0.000511725667,0.000524338526
37.109375000000,0.000363498027,0.000003652941,0.000512608336,0.000525442737
39.062500000000,0.000365017511,0.000003734389,0.000513549907,0.000526618073
41.015625000000,0.000366627603,0.000003818978,0.000514552281,0.000527866487
42.968750000000,0.000368330377,0.000003906641,0.000515617491,0.000529190076
44.921875000000,0.000370128056,0.000003997320,0.000516747716,0.000530591082
46.875000000000,0.000372023013,0.000004090966,0.000517945279,0.000532071905
48.828125000000,0.000374017788,0.000004187542,0.000519212659,0.000533635109
50.781250000000,0.000376115088,0.000004287016,0.000520552502,0.000535283431
52.734375000000,0.000378317805,0.000004389368,0.000521967623,0.000537019791
54.687500000000,0.000380629022,0.000004494587,0.000523461024,0.000538847306
56.640625000000,0.000383052024,0.000004602671,0.000525035896,0.000540769296
58.593750000000,0.000385590315,0.000004713627,0.000526695641,0.000542789303
60.546875000000,0.000388247628,0.000004827472,0.000528443875,0.000544911098
62.500000000000,0.000391027942,0.000004944231,0.000530284449,0.000547138705
64.453125000000,0.000393935497,0.000005063939,0.000532221458,0.000549476409
66.406250000000,0.000396974813,0.000005186641,0.000534259265,0.000551928781
68.359375000000,0.000400150710,0.000005312391,0.000536402513,0.000554500693
70.312500000000,0.000403468329,0.000005441253,0.000538656147,0.000557197342
72.265625000000,0.000406933154,0.000005573302,0.000541025436,0.000560024272
74.218750000000,0.000410551038,0.000005708621,0.000543515995,0.000562987402
76.171875000000,0.000414328235,0.000005847306,0.000546133813,0.000566093054
78.125000000000,0.000418271426,0.000005989463,0.000548885282,0.000569347981
80.078125000000,0.000422387753,0.000006135211,0.000551777226,0.000572759405
82.031250000000,0.000426684861,0.000006284681,0.000554816937,0.000576335053
83.984375000000,0.000431170936,0.000006438015,0.000558012213,0.000580083199
85.937500000000,0.000435854747,0.000006595371,0.000561371400,0.000584012708
87.890625000000,0.000440745705,0.000006756922,0.000564903438,0.000588133089
89.843750000000,0.000445853910,0.000006922855,0.000568617913,0.000592454550
91.796875000000,0.000451190216,0.000007093375,0.000572525115,0.000596988058
93.750000000000,0.000456766302,0.000007268706,0.000576636099,0.000601745412
95.703125000000,0.000462594743,0.000007449090,0.000580962757,0.000606739315
97.656250000000,0.000468689100,0.000007634791,0.000585517897,0.000611983463
99.609375000000,0.000475064011,0.000007826097,0.000590315332,0.000617492638
101.562500000000,0.000481735299,0.000008023321,0.000595369973,0.000623282817
